日期,信号ID,信号名称,维度,样本数,正确数,胜率,累积样本,累积胜率,有效性评级
2026-05-21,S01,MA多头排列,MA_Trend,2,1,50,2,50,有参考价值
2026-05-21,S02,MA空头排列,MA_Trend,2,0,0,2,0,反向信号
2026-05-21,S03,MACD零轴上金叉,MACD_Position,2,1,50,2,50,有参考价值
2026-05-21,S04,MACD死叉,MACD_Position,4,1,25,4,25,反向信号
2026-05-21,S05,RSI超买(≥70),RSI_Zone,1,1,100,1,100,强有效
2026-05-21,S06,RSI超卖(<30),RSI_Zone,1,0,0,1,0,反向信号
2026-05-21,S07,RSI中性偏强(50-70),RSI_Zone,3,1,33.3,3,33.3,反向信号
2026-05-21,S14,PE高估(>80%),PE_Percentile_Zone,4,2,50,4,50,有参考价值
2026-05-21,S07b,RSI中性偏弱(30-50),RSI_Zone,1,0,0,1,0,反向信号
2026-05-21,S10,放量上涨,Volume_Relation,1,1,100,1,100,强有效
2026-05-21,S11,缩量下跌,Volume_Relation,1,0,0,1,0,反向信号
